review_id,hotel_id,hotel_name,city,star_rating,overall_rating,total_reviews,price_per_night_inr,room_size_sqft,number_of_rooms,number_of_floors,year_established,family_friendly,pet_friendly,business_facilities,pool_available,spa_available,primary_crowd_type,cleanliness_score,service_score,food_quality_score,location_score,amenities,nearby_attraction,distance_to_attraction_km,reviewer_name,review_rating,review_date,review_text
REV0001,HTL001,Mountain View Inn Mumbai,Mumbai,3,3.3,469,4348,632,36,3,1990,Yes,Yes,Yes,Yes,No,Solo Travelers,3.9,3.6,4.7,4.5,Concierge|Conference Rooms|Rooftop Lounge|Bar|Gym,Shopping Mall,9.6,Meera Pillai,4.0,2024-01-24,Rooftop restaurant with sea view — this was the main reason we booked and we were not disappointed. The pool sits right at the edge of the terrace overlooking the coastline. Dining experience was top tier. The pasta and grilled fish were outstanding. Ambiance in the evening with fairy lights and the sound of the sea was romantic beyond words. Rooms were also clean and well-maintained. Great value for a premium coastal experience.
REV0002,HTL001,Mountain View Inn Mumbai,Mumbai,3,3.3,469,4348,632,36,3,1990,Yes,Yes,Yes,Yes,No,Solo Travelers,3.9,3.6,4.7,4.5,Concierge|Conference Rooms|Rooftop Lounge|Bar|Gym,Shopping Mall,9.6,Karan Malhotra,3.8,2024-07-03,"The hotel's rooftop is its crown jewel. A full-service restaurant on top with 180 degree sea views and a heated infinity pool that seems to merge into the ocean. We had breakfast, lunch, and dinner all at the rooftop because we simply could not leave. The pool area has comfortable sunbeds and the staff serves poolside drinks and snacks. If you want sea view dining combined with a rooftop pool experience, this is the place."
REV0003,HTL001,Mountain View Inn Mumbai,Mumbai,3,3.3,469,4348,632,36,3,1990,Yes,Yes,Yes,Yes,No,Solo Travelers,3.9,3.6,4.7,4.5,Concierge|Conference Rooms|Rooftop Lounge|Bar|Gym,Shopping Mall,9.6,Ritu Agarwal,3.2,2024-11-20,"Spent 3 nights here entirely focused on wellness. The spa menu is comprehensive with Ayurvedic treatments, deep tissue massages, and couple packages. The pool is kept at a comfortable temperature and the surrounding area is decorated with plants and ambient lighting. Restaurant food is healthy and fresh. The hotel maintains a no-noise policy after 10pm which makes the environment genuinely peaceful. If you want to decompress and recharge, this is the place."
REV0004,HTL001,Mountain View Inn Mumbai,Mumbai,3,3.3,469,4348,632,36,3,1990,Yes,Yes,Yes,Yes,No,Solo Travelers,3.9,3.6,4.7,4.5,Concierge|Conference Rooms|Rooftop Lounge|Bar|Gym,Shopping Mall,9.6,Meera Pillai,3.9,2024-12-03,"This hotel is a true wellness sanctuary. The spa is the best I have experienced in India — highly skilled therapists, premium oils, and a beautifully designed treatment room with soft natural light. Post-spa the pool area is serene and rarely crowded. The restaurant serves a dedicated wellness menu with fresh juices, salads, and low-calorie options alongside regular meals. There is no rooftop restaurant but the ground floor dining area has large windows with a garden view. Ideal for anyone seeking rest and rejuvenation."
REV0005,HTL002,Sunset Haven Udaipur,Udaipur,3,4.7,463,13955,484,252,25,1995,No,No,Yes,No,Yes,Business,4.1,3.5,3.7,3.5,Concierge|Pet Friendly|Restaurant|Airport Shuttle|Rooftop Lounge|Swimming Pool|Room Service|Free Parking|Conference Rooms,Beach,4.1,Arjun Reddy,3.0,2024-08-13,We had our family reunion here with 12 adults and 5 children. The hotel handled our group beautifully. Multiple dining options in the restaurant and poolside snack bar made feeding everyone effortless. The kids had a blast at the pool area which has slides and splash pads. Common areas are well-supervised. Evening cultural performances at the courtyard were a hit with both adults and kids. Rooms were clean and the buffet breakfast was elaborate and fresh.
REV0006,HTL002,Sunset Haven Udaipur,Udaipur,3,4.7,463,13955,484,252,25,1995,No,No,Yes,No,Yes,Business,4.1,3.5,3.7,3.5,Concierge|Pet Friendly|Restaurant|Airport Shuttle|Rooftop Lounge|Swimming Pool|Room Service|Free Parking|Conference Rooms,Beach,4.1,Karan Malhotra,2.9,2024-03-08,Stayed here for 4 nights as a solo traveler on a budget. The hostel-style social vibe was great — easy to meet people. Restaurant serves basic Indian and continental food at very reasonable prices. The pool is small but gets the job done after a hot day of sightseeing. Rooms are clean and the AC worked fine. No luxury amenities but the staff was friendly and the location is excellent. Would stay again.
REV0007,HTL002,Sunset Haven Udaipur,Udaipur,3,4.7,463,13955,484,252,25,1995,No,No,Yes,No,Yes,Business,4.1,3.5,3.7,3.5,Concierge|Pet Friendly|Restaurant|Airport Shuttle|Rooftop Lounge|Swimming Pool|Room Service|Free Parking|Conference Rooms,Beach,4.1,Ritu Agarwal,3.8,2024-12-19,The hotel looks great in photos but reality was different. The rooftop dining area is small and noisy. The sea view exists but only if you get a corner table which required booking days in advance. Pool maintenance was mediocre — the water was not very clean on day two of our stay. Check-in took nearly an hour. Positives — the bed was extremely comfortable and the breakfast buffet was actually quite good. Overall a below average experience for a supposedly 4-star property.
REV0008,HTL003,Crimson Valley Lodge,Pune,3,5.0,616,17671,293,406,5,1992,Yes,Yes,No,Yes,No,Seniors,4.2,3.9,3.1,4.1,Airport Shuttle|Concierge|Spa|Bicycle Rental,Botanical Garden,7.6,Karan Malhotra,2.5,2024-12-24,"Came here for a birthday celebration and the rooftop restaurant delivered. The city view from up top is spectacular, especially at night when the lights of the city spread out below you. The pool on the same level makes it a complete rooftop experience. Desserts were exceptional and the staff arranged a surprise cake. Service was personalized and thoughtful. The hotel is centrally located so sightseeing was easy. Highly recommend for special occasions."
REV0009,HTL003,Crimson Valley Lodge,Pune,3,5.0,616,17671,293,406,5,1992,Yes,Yes,No,Yes,No,Seniors,4.2,3.9,3.1,4.1,Airport Shuttle|Concierge|Spa|Bicycle Rental,Botanical Garden,7.6,Nikhil Joshi,4.9,2024-03-17,Rooftop restaurant with sea view — this was the main reason we booked and we were not disappointed. The pool sits right at the edge of the terrace overlooking the coastline. Dining experience was top tier. The pasta and grilled fish were outstanding. Ambiance in the evening with fairy lights and the sound of the sea was romantic beyond words. Rooms were also clean and well-maintained. Great value for a premium coastal experience.
REV0010,HTL003,Crimson Valley Lodge,Pune,3,5.0,616,17671,293,406,5,1992,Yes,Yes,No,Yes,No,Seniors,4.2,3.9,3.1,4.1,Airport Shuttle|Concierge|Spa|Bicycle Rental,Botanical Garden,7.6,Sneha Patel,4.7,2024-05-27,The rooftop lounge and restaurant is the highlight of this city hotel. Sitting 22 floors up with a panoramic 360 degree view of the city skyline is something else. We had cocktails and small plates up there every evening. The pool on the rooftop is a gorgeous glass edge pool that gives you a stunning overhead view of the streets below. Food is fusion cuisine and the quality is very high. Perfect for a long weekend city break.
